Recency,Frequency,Monetary
3427,13,100.1
3651,10,57.4
3409,6,30.0
3637,4,38.7
3730,2,41.6
3509,11,127.2
3511,9,52.74
3416,9,73.5
3462,6,39.6
4009,2,13.9
3404,12,115.55
3458,10,57.6
3399,11,219.0
3424,8,61.4
3400,11,53.2
3763,6,67.2
3920,6,20.1
3437,20,155.66
3510,5,29.2
3739,8,79.9
3512,8,26.7
3972,6,39.9
3817,11,85.3
3428,2,10.1
3764,5,54.8
3509,16,125.8
3563,15,121.65
3381,12,71.9
3833,6,37.8
3707,2,20.6
3465,13,81.95
3421,15,78.66
3539,8,50.64
3474,10,98.4
3439,4,18.64
3605,2,37.9
3728,12,71.5
3690,14,125.6
3457,8,50.85
3516,14,155.0
3582,4,24.5
3380,16,159.4
3630,4,34.4
3403,6,100.0
3416,19,163.66
3865,5,79.1
3528,5,44.4
3557,17,284.89
3879,8,101.2
3429,8,55.3
3669,7,62.95
3482,13,85.84
3403,7,39.04
3454,6,11.8
3503,13,68.45
3400,10,87.34
3490,11,107.0
3807,6,82.35
3382,13,132.1
3543,6,32.4
3515,7,41.1
3393,15,174.7
3383,8,43.0
3418,12,97.2
3593,7,50.0
3568,17,133.6
3548,17,181.0
3889,5,104.0
3501,12,83.0
3494,21,156.95
3833,8,40.85
3591,4,55.9
3782,16,125.8
3388,13,117.6
3396,9,111.7
3425,14,86.6
3471,4,7.65
4026,2,14.4
3455,10,49.5
3756,11,67.2
3675,19,85.8
3738,8,87.34
3703,12,112.96
3658,10,58.9
3633,10,48.6
3509,17,124.5
3482,14,108.8
3952,4,16.9
3476,9,72.6
3385,15,108.0
3685,14,127.84
3473,12,127.8
3719,8,50.8
3467,18,228.22
3560,4,11.0
3381,7,57.45
3423,11,58.6
3672,8,112.8
3721,5,79.75
3445,12,102.36
3495,19,122.61
3378,5,26.8
3419,10,45.52
3660,6,34.0
3436,8,57.5
3437,9,71.1
3523,12,62.65
3458,2,41.4
3637,14,109.3
3405,20,185.9
